"排序","移动设备市场","使用量占比",
"1","iPhone 4S","21.72%",
"2","iPhone 5","17.88%",
"3","iPhone 5s","13.27%",
"4","iPhone 4","12.39%",
"5","iPad mini(WIFI)","6.13%",
"6","iPad 4(WIFI)","5.7%",
"7","iPad 2(WIFI)","4.47%",
"8","iPad Air(WIFI)","4.07%",
"9","iPhone 4(GSM)","3.45%",
"10","iPad 3(WIFI)","2.19%",
"11","iPad mini 2G(WIFI)","2.01%",
"12","iPhone 5c","1.58%",
"13","iPad 2(GSM)","1.17%",
"14","iPad 3(Global)","0.62%",
"15","iPad","0.58%",
"16","iPad mini(Global)","0.55%",
"17","iPad 4(Global)","0.54%",
"18","iPod Touch 4","0.45%",
"19","iPod Touch 5","0.44%",
"20","iPhone 3GS","0.29%",
"21","iPad Air(Cellular)","0.23%",
"22","iPad mini 2G(Cellular)","0.2%",
"23","iPad mini(GSM)","0.02%",
"24","iPod Touch 3","0.01%",
"25","iPad 4(GSM)","0.01%",
"26","iPad 3(CDMA)","0.01%",
"27","iPad 2(CDMA)","0.01%",
"28","iPhone 3G","0%",
"29","iPod Touch 2","0%",
"30","iPod Touch","0%",
"31","iPhone","0%",

"iPhone 4S移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.01","22.29%",
="2014.02.02","22.23%",
="2014.02.03","22.15%",
="2014.02.04","22.25%",
="2014.02.05","22.06%",
="2014.02.06","21.81%",
="2014.02.07","21.95%",
="2014.02.08","22.02%",
="2014.02.09","21.69%",
="2014.02.10","22.10%",
="2014.02.11","22.20%",
="2014.02.12","22.07%",
="2014.02.13","21.96%",
="2014.02.14","22.06%",
="2014.02.15","21.61%",
="2014.02.16","21.50%",
="2014.02.17","22.09%",
="2014.02.18","22.17%",
="2014.02.19","22.18%",
="2014.02.20","22.07%",
="2014.02.21","21.89%",
="2014.02.22","21.26%",
="2014.02.23","21.14%",
="2014.02.24","21.85%",
="2014.02.25","21.86%",
="2014.02.26","21.83%",
="2014.02.27","21.86%",
="2014.02.28","21.76%",
="2014.03.01","21.22%",
="2014.03.02","21.19%",
="2014.03.03","22.11%",
="2014.03.04","22.14%",
="2014.03.05","22.16%",
="2014.03.06","21.97%",
="2014.03.07","21.86%",
="2014.03.08","21.22%",
="2014.03.09","21.23%",
="2014.03.10","21.97%",
="2014.03.11","21.97%",
="2014.03.12","21.76%",
="2014.03.13","21.92%",
="2014.03.14","21.85%",
="2014.03.15","21.30%",
="2014.03.16","21.29%",
="2014.03.17","22.06%",
="2014.03.18","22.19%",
="2014.03.19","22.13%",
="2014.03.20","22.16%",
="2014.03.21","21.87%",
="2014.03.22","21.23%",
="2014.03.23","21.19%",
="2014.03.24","21.94%",
="2014.03.25","21.94%",
="2014.03.26","21.93%",
="2014.03.27","21.94%",
="2014.03.28","21.75%",
="2014.03.29","21.06%",
="2014.03.30","21.12%",
="2014.03.31","21.97%",
="2014.04.01","22.13%",
="2014.04.02","22.10%",
="2014.04.03","22.12%",
="2014.04.04","21.81%",
="2014.04.05","21.38%",
="2014.04.06","21.38%",
="2014.04.07","21.40%",
="2014.04.08","22.12%",
="2014.04.09","21.94%",
="2014.04.10","21.88%",
="2014.04.11","21.69%",
="2014.04.12","20.99%",
="2014.04.13","20.96%",
="2014.04.14","21.83%",
="2014.04.15","21.78%",
="2014.04.16","21.90%",
="2014.04.17","21.82%",
="2014.04.18","21.51%",
="2014.04.19","20.96%",
="2014.04.20","20.97%",
="2014.04.21","21.84%",
="2014.04.22","21.77%",
="2014.04.23","21.66%",
="2014.04.24","21.62%",
